platform,product_id,name,current_price,original_price,rating,review_count,store_name,category,crawled_at,source_keyword,image_url,detail_url,crawl_timestamp,search_keyword
Amazon,AMZ_TRA_001_0000,trampoline Amazon Product 1-0,930.0,1188.34,4.9,40423,Amazon Store,Clothing,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0001,trampoline Amazon Product 1-1,375.0,446.6,3.8,47260,Amazon Store,Sports,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0002,trampoline Amazon Product 1-2,1114.0,1312.68,4.3,11053,Amazon Store,Electronics,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0003,trampoline Amazon Product 1-3,1265.0,1503.35,4.0,36791,Amazon Store,Books,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0004,trampoline Amazon Product 1-4,1543.0,1709.74,4.3,21739,Amazon Store,Electronics,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0005,trampoline Amazon Product 1-5,1546.0,1703.18,3.7,34887,Amazon Store,Books,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0006,trampoline Amazon Product 1-6,1451.0,1691.75,3.1,7220,Amazon Store,Clothing,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0007,trampoline Amazon Product 1-7,810.0,907.47,4.6,46934,Amazon Store,Books,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0008,trampoline Amazon Product 1-8,1477.0,1887.56,3.1,26937,Amazon Store,Electronics,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0009,trampoline Amazon Product 1-9,228.0,279.54,4.9,32845,Amazon Store,Clothing,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0010,trampoline Amazon Product 1-10,366.0,447.12,3.6,35804,Amazon Store,Electronics,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_001_0011,trampoline Amazon Product 1-11,1777.0,2158.38,4.6,44942,Amazon Store,Sports,2026-02-06 21:47:56,trampoline,,,,
Amazon,AMZ_TRA_002_0000,trampoline Amazon Product 2-0,1555.0,1739.13,4.8,44412,Amazon Store,Clothing,2026-02-06 21:47:59,trampoline,,,,
Amazon,AMZ_TRA_002_0001,trampoline Amazon Product 2-1,316.0,373.29,4.6,47086,Amazon Store,Electronics,2026-02-06 21:47:59,trampoline,,,,
Amazon,AMZ_TRA_002_0002,trampoline Amazon Product 2-2,117.0,148.28,5.0,46238,Amazon Store,Books,2026-02-06 21:47:59,trampoline,,,,
Amazon,AMZ_TRA_002_0003,trampoline Amazon Product 2-3,1812.0,2000.39,3.8,42829,Amazon Store,Clothing,2026-02-06 21:47:59,trampoline,,,,
Amazon,AMZ_TRA_002_0004,trampoline Amazon Product 2-4,1191.0,1387.82,4.5,3151,Amazon Store,Sports,2026-02-06 21:47:59,trampoline,,,,
Amazon,AMZ_TRA_002_0005,trampoline Amazon Product 2-5,1109.0,1434.42,3.1,49572,Amazon Store,Electronics,2026-02-06 21:47:59,trampoline,,,,
Amazon,AMZ_TRA_002_0006,trampoline Amazon Product 2-6,1256.0,1428.08,3.5,29731,Amazon Store,Sports,2026-02-06 21:47:59,trampoline,,,,
Amazon,AMZ_TRA_002_0007,trampoline Amazon Product 2-7,355.0,439.84,4.7,20149,Amazon Store,Electronics,2026-02-06 21:47:59,trampoline,,,,
Amazon,AMZ_TRA_002_0008,trampoline Amazon Product 2-8,1794.0,2264.76,3.9,45534,Amazon Store,Home,2026-02-06 21:47:59,trampoline,,,,
Amazon,AMZ_TRA_002_0009,trampoline Amazon Product 2-9,1041.0,1147.19,3.5,19871,Amazon Store,Books,2026-02-06 21:47:59,trampoline,,,,
Amazon,AMZ_TRA_003_0000,trampoline Amazon Product 3-0,1773.0,2265.39,3.5,5802,Amazon Store,Books,2026-02-06 21:48:02,trampoline,,,,
Amazon,AMZ_TRA_003_0001,trampoline Amazon Product 3-1,713.0,870.13,4.2,4061,Amazon Store,Books,2026-02-06 21:48:02,trampoline,,,,
Amazon,AMZ_TRA_003_0002,trampoline Amazon Product 3-2,1354.0,1610.75,4.5,13801,Amazon Store,Clothing,2026-02-06 21:48:02,trampoline,,,,
Amazon,AMZ_TRA_003_0003,trampoline Amazon Product 3-3,186.0,235.04,3.4,31203,Amazon Store,Electronics,2026-02-06 21:48:02,trampoline,,,,
Amazon,AMZ_TRA_003_0004,trampoline Amazon Product 3-4,205.0,257.6,3.9,25662,Amazon Store,Clothing,2026-02-06 21:48:02,trampoline,,,,
Amazon,AMZ_TRA_003_0005,trampoline Amazon Product 3-5,1532.0,1849.07,3.0,25754,Amazon Store,Books,2026-02-06 21:48:02,trampoline,,,,
Amazon,AMZ_TRA_003_0006,trampoline Amazon Product 3-6,289.0,364.13,4.8,38226,Amazon Store,Clothing,2026-02-06 21:48:02,trampoline,,,,
Amazon,AMZ_TRA_003_0007,trampoline Amazon Product 3-7,439.0,531.18,4.7,23867,Amazon Store,Clothing,2026-02-06 21:48:02,trampoline,,,,
